trace_type	trace_kind	combo_or_template	source_row	source_id	masked_bad_turns	train_on_false_turns	loss_mask_false_turns	diagnosis_status	request_more_data	post_ratio	confidence	policy_allowed	residual_pattern	suspect_group_size	schema_has_hif_tool	tools	applied_tools
representative_multi_error	multi_error	measurement_error+parameter_error	1					partial	True	1.5654	0.86	True	localized	1	False	wls_from_path -> get_parameter_context -> correct_parameters_from_path -> get_verification_snapshot -> wls_from_path -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	correct_parameters_from_path -> correct_measurements_from_path
representative_multi_error	multi_error	measurement_error+parameter_error	2					complete	False	0.9452	0.96	True	localized	3	False	wls_from_path -> get_parameter_context -> correct_parameters_from_path -> get_verification_snapshot -> wls_from_path -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	correct_parameters_from_path -> correct_measurements_from_path
representative_multi_error	multi_error	measurement_error+topology_error	41					complete	False	0.9035	0.96	True	localized	1	False	wls_from_path -> get_topology_context -> correct_topology_from_path -> get_verification_snapshot -> wls_from_path -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	correct_topology_from_path -> correct_measurements_from_path
representative_multi_error	multi_error	measurement_error+topology_error	42					complete	False	0.7532	0.96	True	localized	1	False	wls_from_path -> get_topology_context -> correct_topology_from_path -> get_verification_snapshot -> wls_from_path -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	correct_topology_from_path -> correct_measurements_from_path
representative_multi_error	multi_error	measurement_error+harmonic_anomaly	81					near_threshold	False	1.1567	0.92	True	localized	1	False	wls_from_path -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path -> get_harmonic_context -> run_hse_from_path	correct_measurements_from_path -> run_hse_from_path
representative_multi_error	multi_error	measurement_error+harmonic_anomaly	82					near_threshold	False	1.1457	0.92	True	localized	5	False	wls_from_path -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path -> get_harmonic_context -> run_hse_from_path	correct_measurements_from_path -> run_hse_from_path
representative_multi_error	multi_error	parameter_error+topology_error	103					not_applicable	False	None	0.96	False	not_applicable	0	False	wls_from_path -> get_topology_context -> correct_topology_from_path -> get_verification_snapshot -> wls_from_path -> get_parameter_context -> correct_parameters_from_path	correct_topology_from_path -> correct_parameters_from_path
representative_multi_error	multi_error	parameter_error+topology_error	104					not_applicable	False	None	0.96	False	not_applicable	0	False	wls_from_path -> get_topology_context -> correct_topology_from_path -> get_verification_snapshot -> wls_from_path -> get_parameter_context -> correct_parameters_from_path	correct_topology_from_path -> correct_parameters_from_path
representative_multi_error	multi_error	parameter_error+harmonic_anomaly	143					near_threshold	False	1.0785	0.92	False	not_applicable	0	False	wls_from_path -> get_parameter_context -> correct_parameters_from_path -> get_verification_snapshot -> wls_from_path -> get_harmonic_context -> run_hse_from_path	correct_parameters_from_path -> run_hse_from_path
representative_multi_error	multi_error	parameter_error+harmonic_anomaly	144					near_threshold	False	1.1262	0.92	False	not_applicable	0	False	wls_from_path -> get_parameter_context -> correct_parameters_from_path -> get_verification_snapshot -> wls_from_path -> get_harmonic_context -> run_hse_from_path	correct_parameters_from_path -> run_hse_from_path
representative_multi_error	multi_error	topology_error+harmonic_anomaly	183					complete	False	0.9878	0.96	False	not_applicable	0	False	wls_from_path -> get_topology_context -> correct_topology_from_path -> get_verification_snapshot -> wls_from_path -> get_harmonic_context -> run_hse_from_path	correct_topology_from_path -> run_hse_from_path
representative_multi_error	multi_error	topology_error+harmonic_anomaly	184					complete	False	0.9926	0.96	False	not_applicable	0	False	wls_from_path -> get_topology_context -> correct_topology_from_path -> get_verification_snapshot -> wls_from_path -> get_harmonic_context -> run_hse_from_path	correct_topology_from_path -> run_hse_from_path
hardening_recovery	tool_precondition_hardening	parameter_helper_unavailable	223	me_943146347624	1	1	1	near_threshold	False	1.1012	0.92	True	localized	4	False	wls_from_path -> get_parameter_context -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	
hardening_recovery	tool_precondition_hardening	parameter_helper_unavailable	226	me_715713031599	1	1	1	complete	False	0.8037	0.99	True	localized	1	False	wls_from_path -> get_parameter_context -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	
hardening_recovery	tool_precondition_hardening	harmonic_helper_unavailable	224	me_943146347624	1	1	1	near_threshold	False	1.1012	0.92	True	localized	4	False	wls_from_path -> get_harmonic_context -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	
hardening_recovery	tool_precondition_hardening	harmonic_helper_unavailable	227	me_715713031599	1	1	1	complete	False	0.8037	0.99	True	localized	1	False	wls_from_path -> get_harmonic_context -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	
hardening_recovery	tool_precondition_hardening	verification_snapshot_unavailable	225	me_943146347624	1	1	1	near_threshold	False	1.1012	0.92	True	localized	4	False	wls_from_path -> get_verification_snapshot -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	
hardening_recovery	tool_precondition_hardening	verification_snapshot_unavailable	228	me_715713031599	1	1	1	complete	False	0.8037	0.99	True	localized	1	False	wls_from_path -> get_verification_snapshot -> correct_measurements_from_path -> get_verification_snapshot -> wls_from_path	
