source_row	bucket	trace_kind	trace_type	template	combo	primary_error_family	diagnosis_status	request_more_data	measurement_policy_request_more_data	curriculum_only	physically_coupled	sequence_only_families	has_last_verified_summary	has_verification_summaries	applied_tools	tool_sequence
1	"multi"	"multi_error"	"representative_multi_error"	null	"measurement_error+parameter_error"	"measurement_error"	"partial"	true	true	false	true	null	true	true	["correct_parameters_from_path", "correct_measurements_from_path"]	["wls_from_path", "get_parameter_context", "correct_parameters_from_path", "get_verification_snapshot", "wls_from_path", "correct_measurements_from_path", "get_verification_snapshot", "wls_from_path"]
2	"multi"	"multi_error"	"representative_multi_error"	null	"measurement_error+parameter_error"	"measurement_error"	"complete"	false	false	false	true	null	true	true	["correct_parameters_from_path", "correct_measurements_from_path"]	["wls_from_path", "get_parameter_context", "correct_parameters_from_path", "get_verification_snapshot", "wls_from_path", "correct_measurements_from_path", "get_verification_snapshot", "wls_from_path"]
701	"multi"	"multi_error"	"representative_multi_error"	null	"measurement_error+topology_error"	"measurement_error"	"complete"	false	false	false	true	null	true	true	["correct_topology_from_path", "correct_measurements_from_path"]	["wls_from_path", "get_topology_context", "correct_topology_from_path", "get_verification_snapshot", "wls_from_path", "correct_measurements_from_path", "get_verification_snapshot", "wls_from_path"]
702	"multi"	"multi_error"	"representative_multi_error"	null	"measurement_error+topology_error"	"measurement_error"	"complete"	false	false	false	true	null	true	true	["correct_topology_from_path", "correct_measurements_from_path"]	["wls_from_path", "get_topology_context", "correct_topology_from_path", "get_verification_snapshot", "wls_from_path", "correct_measurements_from_path", "get_verification_snapshot", "wls_from_path"]
1401	"multi"	"multi_error"	"representative_multi_error"	null	"measurement_error+harmonic_anomaly"	"measurement_error"	"near_threshold"	false	false	false	true	null	true	true	["correct_measurements_from_path", "run_hse_from_path"]	["wls_from_path", "correct_measurements_from_path", "get_verification_snapshot", "wls_from_path", "get_harmonic_context", "run_hse_from_path"]
1402	"multi"	"multi_error"	"representative_multi_error"	null	"measurement_error+harmonic_anomaly"	"measurement_error"	"near_threshold"	false	false	false	true	null	true	true	["correct_measurements_from_path", "run_hse_from_path"]	["wls_from_path", "correct_measurements_from_path", "get_verification_snapshot", "wls_from_path", "get_harmonic_context", "run_hse_from_path"]
1864	"multi"	"multi_error"	"representative_multi_error"	null	"parameter_error+topology_error"	"parameter_error"	"curriculum_only"	false	false	true	false	["parameter_error"]	true	true	["correct_topology_from_path", "correct_parameters_from_path"]	["wls_from_path", "get_topology_context", "correct_topology_from_path", "get_verification_snapshot", "wls_from_path", "get_parameter_context", "correct_parameters_from_path"]
1865	"multi"	"multi_error"	"representative_multi_error"	null	"parameter_error+topology_error"	"parameter_error"	"curriculum_only"	false	false	true	false	["parameter_error"]	true	true	["correct_topology_from_path", "correct_parameters_from_path"]	["wls_from_path", "get_topology_context", "correct_topology_from_path", "get_verification_snapshot", "wls_from_path", "get_parameter_context", "correct_parameters_from_path"]
2564	"multi"	"multi_error"	"representative_multi_error"	null	"parameter_error+harmonic_anomaly"	"parameter_error"	"near_threshold"	false	false	false	true	null	true	true	["correct_parameters_from_path", "run_hse_from_path"]	["wls_from_path", "get_parameter_context", "correct_parameters_from_path", "get_verification_snapshot", "wls_from_path", "get_harmonic_context", "run_hse_from_path"]
2565	"multi"	"multi_error"	"representative_multi_error"	null	"parameter_error+harmonic_anomaly"	"parameter_error"	"near_threshold"	false	false	false	true	null	true	true	["correct_parameters_from_path", "run_hse_from_path"]	["wls_from_path", "get_parameter_context", "correct_parameters_from_path", "get_verification_snapshot", "wls_from_path", "get_harmonic_context", "run_hse_from_path"]
