cb_name,yard,reported_closed,true_closed,partition_changed,effect,category,affected_planning_buses,topological_buses_true,measurements_changed,max_abs_dz_over_sigma_main_vm_min,dead_sections_any_scale,shed_load_mw_max,dropped_gen_any_scale,J_case14_main_vm_min,J_case14_main_vm_max,J_case14_busbar_vm_min,J_case14_anchor_vm_min,detect_noiseless_main_vm_all_scales,detect_noiseless_busbar_vm_all_scales,detect_noiseless_anchor_vm_all_scales,wls_failed_anchor_vm_any_scale,detection_rate_noisy_main_vm_min,detection_rate_noisy_anchor_vm_min,equivalent_branch_row0,J_branch_out_correction_main_vm_min,branch_status_correction_clean_all_scales,admissible_conservative,admissible_with_dead_bay_voltage
CB_1_B1_N1,1,True,False,True,split,dangling_line_terminal,[1],15,True,61.8254,False,0,False,15678.3,15752.6,16824,15678.3,True,True,True,False,1,1,1,37.6593,True,True,True
CB_1_N1_N2,1,True,False,True,split,dangling_line_terminal,[1],15,True,126.258,False,0,False,45396.6,48496.5,45396.6,45396.6,True,True,True,False,1,1,0,47.832,True,True,True
CB_1_N2_B2,1,True,False,True,split,dangling_line_terminal,[1],15,True,126.258,False,0,False,45396.6,48496.5,45396.6,45396.6,True,True,True,False,1,1,0,47.832,True,True,True
CB_1_B1_N3,1,True,False,True,split,dangling_line_terminal,[1],15,True,61.8254,False,0,False,15678.3,15752.6,15678.3,15678.3,True,True,True,False,1,1,1,37.6593,True,True,True
CB_1_N3_N4,1,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_1_N4_B2,1,True,False,True,split,dangling_line_terminal,[1],15,True,126.258,False,0,False,45396.6,48496.5,45396.6,45396.6,True,True,True,False,1,1,0,47.832,True,True,True
CB_2R1_2R2,2,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_2R2_2R3,2,True,False,True,split,dangling_line_terminal,[2],15,True,34.8383,False,0,False,4268.9,4557.07,4268.9,4268.9,True,True,True,False,1,1,4,19.5922,True,True,True
CB_2R3_2R4,2,True,False,True,split,bus_split,[2],15,True,46.0944,False,0,False,15982.5,16684.5,15982.5,15982.5,True,True,True,False,1,1,,,,True,True
CB_2R4_2R5,2,True,False,True,split,bus_split,[2],15,True,133.197,False,0,False,50810.1,52833.4,51630.4,51630.4,True,True,True,False,1,1,,,,True,True
CB_2R5_2R1,2,True,False,True,split,dangling_line_terminal,[2],15,True,126.257,False,0,False,45691.8,48671,45691.8,45691.8,True,True,True,False,1,1,0,65.7841,True,True,True
CB_3_L32_B1,3,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_3_L32_B2,3,True,False,True,split,dangling_line_terminal,[3],15,True,55.0829,False,0,False,7608.85,10797.8,7608.85,7608.85,True,True,True,False,1,1,2,35.7815,True,True,True
CB_3_L34_B1,3,True,False,True,split,unsupplied_island,[3],15,True,25.3627,True,0,True,1.70604e-08,1.85948e-05,360927,360927,False,True,True,False,0,1,,,,False,True
CB_3_L34_B2,3,True,False,True,split,bus_split,[3],15,True,27.6934,False,0,False,3071.26,10458.3,3071.26,3071.26,True,True,True,False,1,1,,,,False,False
CB_4_B1_N1,4,True,False,True,split,bus_split,[4],15,True,64.5314,False,0,False,17207.5,18019.6,17230.9,17230.9,True,True,True,False,1,1,,,,True,True
CB_4_N1_N2,4,True,False,True,split,bus_split,[4],15,True,54.5097,False,0,False,12504.4,18712.7,12635,12635,True,True,True,False,1,1,,,,True,True
CB_4_N2_B2,4,True,False,True,split,bus_split,[4],15,True,21.1335,False,0,False,2540.72,2676.3,2540.72,2540.72,True,True,True,False,1,1,,,,True,True
CB_4_B1_N3,4,True,False,True,split,dangling_line_terminal,[4],15,True,16.3958,False,0,False,1088.86,3096.33,1088.86,1088.86,True,True,True,False,1,1,7,1.89076e-08,True,True,True
CB_4_N3_N4,4,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_4_N4_B2,4,True,False,True,split,dangling_line_terminal,[4],15,True,46.7101,False,0,False,7710,7793.88,7710,7710,True,True,True,False,1,1,3,21.4497,True,True,True
CB_4_B1_N5,4,True,False,True,split,unsupplied_island,[4],15,True,40.63,True,54.97,False,1.88744e-09,7.02125e-09,1.88744e-09,819910,False,False,True,False,0,1,,,,False,True
CB_4_N5_N6,4,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
